Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
4.7,55,L,Z30,-0.016865431,,,,7,159.7,M,Z30,-0.008971236,,,,16.3,234.1,L,Z30,-0.007922649,,
4.7,141.1,M,Z31,0.007009942,,,,7,183.7,L,Z31,0.004748786,,,,16.3,264.3,L,Z31,0.008010178,,
4.7,184.5,L,Z32,0.001902294,,,,7,200.7,L,Z32,0.007248346,,,,16.3,305.4,L,Z32,0.006279776,,
4.7,235.6,L,Z33,0.001314305,,,,7,221.7,M,Z33,-0.006949376,,,,16.3,326.3,L,Z33,-0.006629357,,
5.4,59.7,L,Z34,0.006980688,,,,7,240.3,L,Z34,0.01170448,,,,17.1,95.3,L,Z34,0.005075849,,
5.4,95.3,M,Z35,-0.006567764,,,,7,305.4,L,Z35,-0.019932402,,,,17.1,120.9,L,Z35,-0.015381383,,
5.4,104.6,L,Z36,0.020154086,,,,7,352.7,M,Z36,0.002234905,,,,17.1,247.2,M,Z36,0.008988792,,
5.4,113.9,M,Z37,-0.032715028,,,,7.8,190.7,M,Z37,-0.019604059,,,,17.8,183.7,L,Z37,-0.019512032,,
5.4,172.1,L,Z38,-0.006140813,,,,7.8,264.3,M,Z38,0.000196129,,,,17.8,221.7,L,Z38,0.007754909,,
6.2,7,M,Z39,-0.005903307,,,,7.8,294.5,L,Z39,-0.003200081,,,,18.6,154.2,L,Z39,-0.001603488,,
6.2,11.6,M,Z40,0.000824562,,,,7.8,364.3,L,Z40,-0.001975853,,,,18.6,272.8,L,Z40,0.002218819,,
6.2,65.1,S,Z41,-0.008998177,,,,8.5,23.3,L,Z41,-0.004700259,,,,19.4,65.9,L,Z41,-0.012661188,,
6.2,120.1,L,Z42,0.000736271,,,,8.5,165.9,L,Z42,0.000677005,,,,19.4,194.5,S,Z42,0.005065801,,
6.2,125.6,M,Z43,-0.003947755,,,,8.5,326.3,M,Z43,-0.009395935,,,,20.2,78.3,L,Z43,-0.008021398,,
6.2,165.9,L,Z44,0.002687063,,,,10.1,3.9,L,Z44,0.008799066,,,,20.2,134.9,L,Z44,-0.002245735,,
6.2,195.3,L,Z45,-0.01064151,,,,10.1,255,L,Z45,-0.001221209,,,,20.9,206.2,L,Z45,0.001463385,,
6.2,227.1,L,Z46,0.001186898,,,,10.1,311.6,S,Z46,9.78E-05,,,,20.9,343.4,L,Z46,0.004945696,,
6.2,240.3,L,Z47,-0.008864327,,,,10.9,63.6,S,Z47,0.001442188,,,,21.4,170.6,M,Z47,-0.00104069,,
6.3,32.7,M,Z48,0.000729563,,,,10.9,80.6,M,Z48,-0.002407959,,,,21.7,50.4,M,Z48,-0.004789774,,
7,70.5,L,Z49,-0.00490696,,,,10.9,96.9,M,Z49,0.000181376,,,,22.5,17.1,L,Z49,0.011967529,,
7,133.3,L,Z50,-0.014060334,,,,10.9,103.9,M,Z50,-0.004970622,,,,22.5,103.9,M,Z50,-0.000897556,,
7,151.1,L,Z51,0.011625305,,,,10.9,138.7,M,Z51,0.005536529,,,,23.3,31,L,Z51,0.003055684,,
7,156.6,M,Z52,-0.007537829,,,,10.9,343.4,M,Z52,-0.007478778,,,,23.3,292.2,L,Z52,-0.003473345,,
7,206.2,M,Z53,0.007784718,,,,10.9,374.4,L,Z53,0.00992369,,,,23.3,313.9,L,Z53,0.009836916,,
7.3,37.1,L,Z54,-0.007105952,,,,11.6,17.1,S,Z54,-0.01024114,,,,24,39.5,L,Z54,-0.008580838,,
7.8,17.8,L,Z55,0.004288342,,,,11.6,43.4,L,Z55,-0.00234167,,,,24,253,L,Z55,-0.002740444,,
7.8,23.3,L,Z56,0.000545956,,,,11.6,131,L,Z56,0.007502034,,,,24.7,88.9,NC,Z56,0.001818423,,
